window,config,start,end,n_years,cagr,sharpe,max_dd,gross_cagr,annual_vol,sortino,turnover_annual,avg_holdings,value_data_coverage,n_days,net_cagr,max_dd_date,total_return,calmar,win_rate,spy_excess_cagr,sector_hhi,sleeve_correlation,allocator_defensive_frac
roll_3y_2015q1,value_only,2015-01-01,2017-12-31,3.0,18.34,1.16,-13.89,18.59,12.36,1.509,4.4,29.2,99.9,755.0,18.34,2015-09-28,65.6,1.32,55.0,6.97,,,
roll_3y_2015q1,combined_static,2015-01-01,2017-12-31,3.0,21.31,1.265,-13.65,21.67,13.68,1.586,6.1,44.9,99.9,755.0,21.31,2016-02-08,78.4,1.562,57.0,9.95,,,
roll_3y_2015q1,spy_benchmark,2015-01-01,2017-12-31,3.0,11.37,0.598,-13.02,11.37,12.31,,0.0,1.0,,755.0,11.37,,38.06,,,,,,
roll_3y_2015q3,value_only,2015-07-01,2018-06-30,3.0,18.27,1.074,-12.07,18.53,13.29,1.345,4.4,29.2,99.9,756.0,18.27,2015-09-28,65.45,1.514,55.4,6.72,,,
roll_3y_2015q3,combined_static,2015-07-01,2018-06-30,3.0,20.6,1.107,-13.05,20.96,14.99,1.365,6.2,44.7,99.9,756.0,20.6,2016-02-08,75.4,1.579,56.7,9.04,,,
roll_3y_2015q3,spy_benchmark,2015-07-01,2018-06-30,3.0,11.56,0.576,-13.02,11.56,13.11,,0.0,1.0,,756.0,11.56,,38.84,,,,,,
roll_3y_2016q1,value_only,2016-01-01,2018-12-31,2.99,18.57,1.13,-17.84,18.83,12.89,1.39,4.5,29.3,99.9,754.0,18.57,2018-12-24,66.48,1.041,56.0,8.87,,,
roll_3y_2016q1,combined_static,2016-01-01,2018-12-31,2.99,20.73,1.12,-21.13,21.1,14.93,1.354,6.3,44.9,99.9,754.0,20.73,2018-12-24,75.7,0.981,57.4,11.03,,,
roll_3y_2016q1,spy_benchmark,2016-01-01,2018-12-31,2.99,9.7,0.44,-19.35,9.7,12.97,,0.0,1.0,,754.0,9.7,,31.92,,,,,,
roll_3y_2016q3,value_only,2016-07-01,2019-06-30,2.99,18.62,1.13,-17.84,18.88,12.94,1.401,4.5,29.2,99.9,753.0,18.62,2018-12-24,66.57,1.044,55.9,4.61,,,
roll_3y_2016q3,combined_static,2016-07-01,2019-06-30,2.99,19.17,1.014,-21.13,19.53,14.96,1.245,6.2,45.0,99.9,753.0,19.17,2018-12-24,68.9,0.908,56.5,5.17,,,
roll_3y_2016q3,spy_benchmark,2016-07-01,2019-06-30,2.99,14.01,0.81,-19.35,14.01,12.35,,0.0,1.0,,753.0,14.01,,47.95,,,,,,
roll_3y_2017q1,value_only,2017-01-01,2019-12-31,2.99,20.65,1.234,-17.84,20.92,13.49,1.509,4.5,29.2,99.9,754.0,20.65,2018-12-24,75.37,1.158,56.3,5.82,,,
roll_3y_2017q1,combined_static,2017-01-01,2019-12-31,2.99,20.74,1.09,-21.13,21.11,15.35,1.339,6.2,45.4,99.9,754.0,20.74,2018-12-24,75.76,0.982,56.4,5.91,,,
roll_3y_2017q1,spy_benchmark,2017-01-01,2019-12-31,2.99,14.83,0.845,-19.35,14.83,12.82,,0.0,1.0,,754.0,14.83,,51.25,,,,,,
roll_3y_2017q3,value_only,2017-07-01,2020-06-30,2.99,17.07,0.568,-31.43,17.33,23.02,0.642,4.6,29.2,99.9,754.0,17.07,2020-03-23,60.25,0.543,56.2,6.55,,,
roll_3y_2017q3,combined_static,2017-07-01,2020-06-30,2.99,18.31,0.577,-34.33,18.69,24.79,0.633,6.5,45.4,99.9,754.0,18.31,2020-03-23,65.39,0.533,57.1,7.79,,,
roll_3y_2017q3,spy_benchmark,2017-07-01,2020-06-30,2.99,10.52,0.296,-33.72,10.52,22.01,,0.0,1.0,,754.0,10.52,,34.9,,,,,,
roll_3y_2018q1,value_only,2018-01-01,2020-12-31,3.0,15.87,0.497,-31.43,16.14,23.91,0.589,4.8,29.2,99.9,756.0,15.87,2020-03-23,55.58,0.505,54.3,2.14,,,
roll_3y_2018q1,combined_static,2018-01-01,2020-12-31,3.0,19.1,0.59,-34.33,19.47,25.59,0.667,6.4,45.7,99.9,756.0,19.1,2020-03-23,68.93,0.556,55.6,5.36,,,
roll_3y_2018q1,spy_benchmark,2018-01-01,2020-12-31,3.0,13.74,0.426,-33.72,13.74,22.84,,0.0,1.0,,756.0,13.74,,47.13,,,,,,
roll_3y_2018q3,value_only,2018-07-01,2021-06-30,3.0,23.93,0.84,-31.43,24.21,23.73,0.989,4.6,29.2,99.9,755.0,23.93,2020-03-23,90.16,0.761,55.2,5.44,,,
